Sumber Air,No. Permohonan,Nama Lokasi,Lokasi Contoh Uji,Titik Koordinat,Parameter,Satuan,Tahun,Bulan,Konsentrasi,Baku Mutu,Metode Uji
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Nitrit ,mg/L,2021,Agustus,0.137,Tidak dipersyaratkan,SNI-06-6989-9-2004
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",pH,,2021,Agustus,6.74,9-Jun,SNI 6989.11 : 2019
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",klorida,mg/L,2021,Agustus,25.6,800,SNI 6989.19-2009
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",COD,mg/L,2021,Agustus,18.0,25,SNI 6989.2-2019
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",BOD,mg/L,2021,Agustus,2.5,3,SNI 6989.72 :2009
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",DO,mg/L,2021,Agustus,5.7,4,APHA 4500-O G. 2017
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Cu Terlarut,mg/L,2021,Agustus,0.018,0.02,SNI 6989.6: 2009
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Zn Terlarut,mg/L,2021,Agustus,0.015,Tidak dipersyaratkan,SNI-06-6989.84:2019
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Klorin total,mg/L,2021,Agustus,0.08,0.03,Merck Colorimetric DPD
Air Sungai,67,Sungai Code Jembatan Gondolayu,"Jl. Jend. Sudirman No.33, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233, Indonesia","-7.782707,110.370940",Fosfat,mg/L,2021,Agustus,0.65,Tidak dipersyaratkan,SNI 6989-31:2021
